"id","mother","father"
"11",NA,NA
"12",NA,NA
"13",NA,NA
"14",NA,NA
"15",NA,NA
"16",NA,NA
"17",NA,NA
"18",NA,NA
"19",NA,NA
"20",NA,NA
"21",NA,NA
"22",NA,NA
"23",NA,NA
"24",NA,NA
"25",NA,NA
"26",NA,NA
"27",NA,NA
"28",NA,NA
"29",NA,NA
"30",NA,NA
"31",NA,NA
"32",NA,NA
"33",NA,NA
"34",NA,NA
"35",NA,NA
"36",NA,NA
"37",NA,NA
"38",NA,NA
"39",NA,NA
"40",NA,NA
"7843","10","18"
"15793","21","25"
"7885","10","18"
"8030","10","18"
"7949","10","18"
"8172","10","26"
"7872","10","18"
"7858","10","18"
"16216","21","35"
"9466","12","21"
"29580","10","24"
"29986","10","28"
"26575","7","35"
"29843","10","28"
"29512","10","24"
"38250","25","35"
"26297","7","24"
"38263","25","35"
"37720","24","25"
"22913","4","25"
"49574","10","35"
"45002","5","18"
"47840","8","10"
"48774","9","25"
"43740","4","10"
"49573","10","35"
"45370","5","27"
"49120","10","15"
"43163","3","30"
"47599","7","37"
"68596","10","35"
"68397","10","21"
"68469","10","35"
"68358","10","21"
"68371","10","21"
"68311","10","21"
"68092","10","13"
"68344","10","21"
"77189","25","37"
"68337","10","21"
"86409","7","26"
"83386","3","38"
"88950","10","37"
"86616","8","10"
"82972","3","25"
"89030","10","37"
"83304","3","38"
"98601","29","35"
"83007","3","25"
"83306","3","38"
"119328","15793","8030"
"119395","15793","8030"
"119289","15793","8030"
"119260","15793","8030"
"119471","15793","7858"
"119316","15793","8030"
"110027","21","7885"
"119797","7885","8030"
"119747","7885","8030"
"105961","16","7872"
"137161","8172","7858"
"137401","8172","26575"
"139008","29580","29512"
"136342","8030","7858"
"139462","29512","37720"
"137172","8172","7858"
"137134","8172","7858"
"136443","8030","38263"
"135863","7885","7872"
"137719","7872","26297"
"157654","38263","48774"
"157729","38263","48774"
"157300","26297","48774"
"151691","7885","29512"
"153336","7858","29580"
"154593","29580","26297"
"159153","49574","45002"
"155850","29843","37720"
"150770","15793","8172"
"159501","47840","43740"
"172527","29512","49573"
"161190","7843","49573"
"163001","7885","29986"
"172270","29512","22913"
"160897","7843","49574"
"173756","26297","68344"
"162847","7885","29986"
"161664","15793","8030"
"174020","37720","49574"
"167587","8172","47840"
"180050","29580","29512"
"182000","29986","68397"
"181856","29986","68397"
"180138","29580","29512"
"184425","29512","22913"
"184472","29512","49574"
"190952","47840","49573"
"192067","48774","86409"
"190410","45002","48774"
"191826","48774","45370"
"202884","48774","119328"
"211745","68092","119471"
"219113","119289","119260"
"202999","48774","119328"
"218631","119328","105961"
"211218","68311","119289"
"218664","119395","119471"
"218856","119395","110027"
"215483","86616","119289"
"214721","83386","119289"
"238823","137401","137172"
"238324","137161","136443"
"238359","137161","136443"
"237543","119316","137401"
"238291","137161","136443"
"238273","137161","136443"
"236994","119471","119747"
"239954","137134","136443"
"236768","119260","139008"
"236631","119289","136443"
"259287","157300","159153"
"255645","136342","157654"
"259012","157654","154593"
"255261","139008","151691"
"258979","157654","154593"
"250242","119471","157729"
"248508","119328","157300"
"257622","136443","135863"
"256934","137134","135863"
"250423","119471","157729"
"279522","163001","162847"
"277724","159153","162847"
"272571","139462","159501"
"274750","136443","163001"
"270173","137401","172270"
"279564","163001","162847"
"277789","159153","162847"
"272649","139462","162847"
"264984","119316","137172"
"279390","172527","174020"
"298007","180050","184472"
"296352","173756","162847"
"298874","181856","191826"
"281992","136342","181856"
"298551","181856","190952"
"296361","173756","162847"
"295748","160897","180138"
"293841","172527","180138"
"290154","151691","161190"
"286411","135863","151691"
"302967","151691","202999"
"319658","218664","215483"
"302515","151691","163001"
"302913","151691","202999"
"319666","218664","215483"
"308736","172527","219113"
"312946","173756","180050"
"310750","161190","218856"
"319985","218856","214721"
"313857","162847","218631"
"336452","211745","238359"
"336369","202884","238823"
"331856","184425","218631"
"336842","219113","218856"
"330075","182000","202999"
"339131","214721","238324"
"333091","190952","218631"
"338588","218664","238823"
"337540","202999","218856"
"337130","219113","238823"
"350464","211745","236631"
"351423","202999","218664"
"348287","191826","255645"
"354858","238823","236994"
"355043","238823","236631"
"351619","202999","214721"
"348566","202884","218664"
"341291","182000","238823"
"353809","218856","238359"
"352495","211218","258979"
"375630","259012","279564"
"375970","255261","248508"
"368295","214721","256934"
"376540","255261","272571"
"362274","219113","272571"
"360897","211745","279522"
"376975","258979","272571"
"374030","236768","272571"
"360067","202884","238273"
"364580","211218","255645"
"393757","257622","293841"
"386799","238273","298007"
"395390","279522","296352"
"391302","258979","277789"
"398669","298007","296352"
"392455","248508","296352"
"380684","238823","281992"
"399254","298874","298551"
"389924","259012","296361"
"395245","279522","296352"
